tenure_months,monthly_charges,total_charges,num_support_tickets,avg_session_minutes,logins_last_30d,discount_pct,account_age_days,churned
29.2,91.88,3396.89,13,36.91,16,4.84,1329,0
17.1,87.91,5000.28,5,22.04,27,13.51,1332,1
27.23,62.43,3705.3,7,55.06,29,20.37,128,0
40.66,68.1,2580.71,7,27.48,39,14.27,1694,1
44.61,55.82,4763.31,11,31.53,34,27.39,1330,1
45.49,66.5,3441.17,8,29.58,37,18.41,1438,1
17.34,77.32,4725.32,9,11.22,36,15.59,395,0
21.99,65.3,3804.17,10,64.32,26,18.36,634,0
28.95,58.21,4027.1,10,42.31,14,23.83,629,0
27.35,55.95,3829.88,10,45.7,30,23.0,1821,0
37.01,67.37,4826.89,10,36.78,27,22.34,1127,1
24.58,89.35,4146.37,8,40.69,39,8.47,737,1
34.3,95.09,4631.86,10,56.17,13,9.86,981,0
30.43,58.94,4120.05,8,44.31,28,23.64,908,0
38.28,63.54,4332.77,4,62.57,0,26.53,1068,0
17.43,66.52,3468.32,10,54.36,29,15.99,948,0
31.98,77.59,3767.19,11,36.73,36,12.33,794,1
40.81,36.96,3189.31,10,47.69,25,30.89,1454,0
16.26,97.17,5476.55,7,33.7,41,9.39,394,1
26.88,54.79,3241.54,9,33.73,29,21.58,814,0
21.05,53.6,1996.84,9,21.72,24,17.08,1694,0
38.81,44.21,2636.56,8,54.66,27,25.95,502,0
30.63,56.37,3116.59,9,46.03,24,21.16,1341,0
33.43,81.02,5498.04,10,43.76,34,17.97,872,0
36.02,43.78,4052.99,10,35.29,29,30.22,456,0
20.69,91.3,3505.15,10,66.38,16,5.75,1045,0
29.58,84.01,5030.14,11,46.35,24,14.79,698,0
27.55,51.01,2948.57,10,46.15,21,22.35,774,0
26.68,72.68,4236.68,5,37.65,20,19.01,987,0
26.29,83.47,4228.92,11,56.28,22,11.63,1352,0
31.92,50.87,2759.66,7,76.61,25,22.89,1298,0
35.46,91.64,4409.85,11,50.94,17,9.79,1021,0
26.42,63.05,4339.63,8,25.03,20,22.96,764,0
33.79,55.11,3679.7,8,49.18,17,24.93,690,0
20.24,90.35,4667.02,5,47.26,36,10.84,506,0
16.07,70.64,3452.46,10,43.68,31,13.75,937,0
33.18,89.52,5451.42,8,49.87,27,15.06,1072,0
24.38,35.05,3445.31,13,58.45,36,29.24,1124,1
13.59,83.28,4337.27,7,38.57,22,12.58,1180,0
53.45,71.55,3703.31,8,31.22,37,17.91,975,1
50.59,53.65,3759.06,9,38.37,39,25.59,1252,1
53.21,80.44,5483.46,10,36.57,30,20.21,1225,1
66.66,87.45,5990.18,9,59.2,30,20.49,1450,1
40.92,43.82,3439.9,10,32.15,39,27.78,1732,1
23.58,90.94,5310.2,5,54.36,26,13.96,1542,0
27.17,92.77,4388.93,9,34.13,17,9.21,271,0
27.44,49.6,3558.74,11,39.88,26,24.78,885,0
19.37,57.63,3643.8,11,46.41,33,20.31,1294,0
24.33,79.89,4888.03,9,50.24,33,15.61,550,0
30.15,74.16,4699.94,9,27.63,25,18.78,958,1
27.93,78.56,4563.54,5,39.48,25,17.28,1171,1
36.79,96.48,4761.4,11,21.62,12,9.57,1542,0
21.81,77.91,5800.49,7,46.83,33,20.73,1247,0
31.18,87.15,5411.08,9,20.88,26,15.55,1078,0
24.05,63.42,3873.35,9,49.54,6,21.21,1333,0
6.82,83.18,2919.09,8,58.49,26,6.0,1981,0
33.66,92.97,6282.08,5,81.54,29,17.68,1177,0
29.28,90.57,3576.32,12,33.01,17,6.47,962,0
48.01,92.76,5488.11,13,41.42,17,13.9,408,0
34.05,92.78,3740.6,10,50.69,39,5.47,1379,0
31.45,48.45,2999.92,9,21.1,21,24.47,995,0
21.34,86.94,3279.85,12,42.0,19,5.97,1444,0
37.12,57.43,4218.2,7,39.18,32,25.65,1354,0
42.45,47.8,2586.34,5,56.64,26,25.35,1809,0
7.93,78.21,4634.49,10,44.64,32,13.76,943,0
36.84,60.38,3540.12,5,25.55,14,23.41,1173,0
41.12,40.25,3082.43,9,42.56,26,29.04,1514,0
8.39,73.3,3535.92,10,49.64,25,12.26,1200,0
36.5,84.3,4376.45,10,61.93,50,11.48,1338,1
33.98,50.34,2497.19,7,41.17,22,22.53,1977,0
24.32,65.71,5350.17,8,35.23,25,24.87,1101,0
21.64,73.77,3953.6,6,51.62,24,16.43,1302,0
27.93,58.27,2839.37,9,33.44,22,19.11,1112,0
4.44,100.15,5928.13,6,20.89,31,9.89,652,1
23.4,61.05,5011.02,10,41.43,26,24.92,962,0
35.12,45.62,2727.83,9,39.57,23,25.21,727,0
36.8,87.35,4606.56,12,41.2,24,11.94,765,0
54.97,73.77,3160.42,5,14.49,40,15.87,1037,1
31.09,46.7,2864.42,10,49.63,25,24.05,525,0
33.69,88.14,6109.44,7,55.39,31,18.21,1629,0
21.39,60.06,2296.17,8,45.61,23,15.67,1001,0
33.22,79.4,4727.77,10,18.57,37,15.43,972,1
18.46,78.61,4735.11,7,34.8,43,15.2,1282,0
21.99,99.12,3784.34,7,38.46,18,4.2,955,0
33.13,63.95,3196.92,6,43.43,6,20.29,1054,0
20.46,85.03,4145.56,10,27.78,10,11.38,846,0
12.9,85.17,4671.97,6,51.75,29,12.7,969,0
15.23,105.55,6270.74,5,34.66,50,8.74,1189,1
21.35,44.88,4274.61,13,45.53,32,28.03,1224,1
29.42,40.58,2103.18,10,25.93,42,22.95,1163,1
28.31,55.95,3158.72,9,46.67,26,20.93,1224,0
25.26,55.47,2924.97,9,53.78,27,20.05,1591,0
43.16,44.21,2728.83,7,32.45,26,27.07,1015,0
25.75,88.75,4335.68,9,53.74,23,10.36,1424,0
26.78,58.65,2390.76,8,63.09,24,17.13,614,0
23.82,52.29,2840.62,10,47.44,44,19.49,1228,0
20.2,73.31,5409.76,9,59.45,10,22.09,1098,0
19.76,65.17,4144.41,9,67.92,20,20.03,939,0
31.0,63.31,2352.92,4,45.52,26,16.5,1076,0
21.99,84.82,5159.27,7,40.33,25,15.66,1110,0
13.62,79.45,4253.17,8,27.05,29,13.33,866,0
26.8,50.61,4365.13,12,2.6,23,27.01,424,0
35.87,57.28,3559.09,9,49.88,36,21.84,672,1
8.2,91.3,4945.33,6,47.0,19,11.17,847,0
26.58,70.84,4213.6,5,61.24,26,19.34,1196,0
36.77,97.7,5497.54,7,34.18,27,12.15,1295,0
22.2,55.8,1898.24,8,54.95,38,15.37,817,0
34.8,89.27,5050.3,9,24.94,29,13.39,1280,0
37.06,90.35,5905.17,7,40.53,39,16.1,542,0
34.42,81.72,4717.47,15,45.76,6,14.82,628,0
36.22,35.87,2739.63,11,25.75,41,27.98,1194,1
27.97,88.45,4835.08,9,27.05,21,12.79,1063,0
39.13,42.55,3546.82,7,47.1,30,30.08,122,0
23.26,62.43,3868.95,9,57.82,38,19.66,1205,0
28.82,54.79,4762.89,10,56.51,42,26.16,710,0
67.5,73.67,4896.29,8,47.76,37,22.85,1307,1
13.05,73.94,3144.52,9,46.63,31,11.08,925,0
30.23,59.85,3967.84,8,49.33,19,23.28,718,0
34.8,96.9,4587.07,10,40.36,20,8.25,697,0
24.58,78.02,4754.23,9,35.89,24,16.84,786,1
12.89,73.18,3867.69,9,49.46,29,14.28,1152,0
26.14,55.11,3320.26,11,25.63,35,20.58,1205,1
25.09,61.67,4154.24,8,34.13,23,22.39,1240,0
41.04,93.49,5095.73,11,59.11,20,12.04,1453,0
52.01,98.85,3028.91,5,37.03,36,3.89,1070,1
28.88,51.61,2138.63,8,56.56,33,19.05,1010,0
21.41,91.58,5295.04,7,31.46,39,11.78,1566,1
31.3,47.65,3430.92,10,62.25,16,26.59,697,0
48.68,42.07,3787.7,6,54.26,21,33.01,686,0
37.48,95.64,4776.81,10,41.92,23,9.79,636,0
13.67,80.36,3899.65,8,48.25,30,11.44,537,0
25.5,84.35,4378.67,9,35.19,31,11.93,891,0
30.91,85.79,6829.58,5,39.91,29,22.61,1096,0
23.46,91.92,5474.02,5,35.59,23,14.31,1111,0
27.85,89.47,5305.95,9,34.93,45,12.52,1379,1
41.12,41.51,2363.75,8,40.03,28,26.25,1230,0
24.7,66.05,3904.23,8,56.06,26,19.26,1022,0
29.07,61.13,3401.63,7,59.22,33,20.06,749,0
24.92,71.59,2088.23,5,55.9,12,11.77,1260,0
40.74,95.67,5860.2,9,9.72,20,14.57,1446,0
24.67,56.29,2556.15,9,32.3,28,18.03,733,0
17.73,69.74,4796.01,8,37.01,32,19.78,451,0
35.03,89.84,5079.7,10,36.06,22,13.23,1476,0
17.49,91.81,3398.75,8,35.18,24,5.09,644,0
19.79,102.91,5696.52,5,52.94,51,8.14,871,1
19.49,87.38,4241.25,9,68.14,16,10.63,1332,0
23.49,82.9,3785.42,12,26.14,17,10.12,514,0
24.34,83.69,4410.47,10,45.78,22,12.59,736,0
23.25,87.95,5392.61,6,42.85,27,15.37,756,0
35.08,97.77,6381.91,6,54.66,23,15.97,425,0
24.49,63.24,4066.76,8,42.54,12,21.99,1094,0
25.68,89.2,4908.3,8,39.3,42,11.39,1579,1
24.56,64.8,3797.89,7,52.45,33,19.3,890,0
41.05,97.78,5219.38,10,33.96,13,11.21,476,0
28.07,88.62,5612.79,6,56.21,26,16.34,1229,0
33.37,84.44,5871.26,8,41.23,30,18.73,1514,0
23.81,61.26,3459.92,8,31.8,38,18.93,1143,0
27.59,77.21,6340.09,10,45.24,32,22.38,1475,1
25.03,61.19,2871.65,8,33.69,16,18.17,870,0
29.36,85.08,5077.56,8,48.53,28,15.16,953,0
33.45,56.25,3886.49,7,43.22,26,24.83,1117,0
32.22,86.56,6312.74,8,36.02,31,19.46,961,0
20.68,60.33,4794.04,10,36.25,31,23.81,1656,0
39.55,79.72,4068.0,10,50.34,44,13.15,1238,1
37.23,86.95,5256.08,12,42.83,21,14.72,1074,0
60.31,68.91,3614.06,6,46.75,39,19.82,1353,1
18.75,84.87,5303.4,6,36.47,20,16.48,1727,0
28.96,84.29,4568.99,10,38.9,23,13.13,1137,0
45.42,57.34,3882.15,10,56.91,36,23.88,1156,1
25.83,53.21,2525.21,9,45.78,16,20.33,793,0
52.89,55.79,3294.32,8,52.81,40,23.27,1141,1
26.86,89.9,4404.8,9,54.37,18,10.43,1536,0
14.08,74.39,3730.16,9,23.82,27,13.26,601,0
34.32,91.21,6084.85,8,38.68,25,16.91,1008,0
33.49,87.72,4447.03,12,41.57,21,10.98,613,0
35.27,47.0,2205.35,8,29.76,35,21.89,1540,0
15.43,94.05,6258.18,7,39.53,37,14.05,1138,1
18.18,82.99,4781.68,8,29.36,30,14.12,1027,0
22.87,80.73,5110.26,8,43.18,28,16.91,944,0
13.45,64.09,3527.97,10,46.67,40,16.0,1249,0
7.94,112.9,5102.4,5,30.84,52,0.0,1531,1
24.96,56.4,2461.06,9,40.64,16,18.67,1481,0
33.56,51.71,2978.19,7,41.58,34,23.02,1233,0
33.13,41.11,3734.68,12,33.79,32,28.92,958,0
40.56,95.06,5581.0,9,40.7,29,13.29,1089,0
36.94,65.2,3658.48,9,38.45,35,18.82,1718,1
22.36,64.98,4154.36,10,50.43,18,20.29,1057,0
61.03,83.72,3807.87,6,38.14,37,14.14,1176,1
33.67,54.58,4179.79,7,21.9,21,27.11,473,0
52.57,50.24,4392.98,10,56.46,37,29.4,1365,1
29.82,93.49,4371.15,8,46.91,29,8.57,750,0
56.53,92.43,7175.34,11,51.18,27,21.47,1016,0
19.11,61.14,3142.58,10,51.6,24,17.46,1615,0
28.09,64.23,4901.89,8,44.05,11,25.31,786,0
26.12,86.26,4933.12,9,51.26,18,14.19,822,0
10.99,101.61,7026.03,6,35.71,43,12.85,591,1
23.87,49.5,2719.63,12,50.21,29,20.6,1219,0
27.64,83.94,6293.93,6,46.72,30,20.82,1473,0
34.94,81.87,4282.52,10,56.08,42,12.76,1036,1
40.34,97.65,4762.55,12,46.27,12,8.8,1114,0
45.42,41.69,2090.09,7,27.94,21,26.08,1204,0
42.8,82.5,4050.18,6,45.0,49,13.1,999,1
20.89,66.41,2475.72,7,53.04,39,12.79,632,0
32.81,88.17,4290.25,13,61.98,6,10.67,1726,0
33.18,56.2,3685.84,8,31.87,21,24.07,1085,0
34.03,44.37,1945.15,8,47.36,30,22.27,1023,0
33.27,44.86,1983.5,9,44.04,31,21.94,1218,0
20.28,83.44,4627.17,8,39.85,26,13.74,1169,0
11.44,77.95,3961.42,8,35.45,29,12.46,1818,0
26.57,83.43,4520.77,9,31.8,36,12.74,914,1
26.72,56.11,1418.5,8,37.93,41,13.7,163,1
42.08,40.06,4056.42,11,46.1,38,31.6,1074,1
20.04,86.41,6194.44,9,48.63,32,17.37,974,1
19.1,83.54,5539.68,6,51.62,17,18.05,1282,0
24.28,82.84,5127.68,9,40.63,26,15.78,994,0
32.26,89.18,5230.81,8,54.62,30,13.97,1093,0
25.38,87.72,4134.79,10,37.95,25,9.44,1127,0
59.17,76.26,3031.63,5,21.23,40,14.41,1380,1
13.89,81.67,5414.81,4,49.08,23,18.3,1600,0
30.84,52.07,3841.73,9,46.84,17,26.39,910,0
23.41,51.76,2756.7,10,48.93,27,20.62,326,0
24.66,99.02,3636.92,8,40.87,21,3.42,1124,0
20.32,61.3,3441.85,9,61.63,20,19.5,1216,0
35.61,93.03,6165.53,6,36.95,36,16.56,1143,0
37.07,50.2,2935.63,7,1.0,21,24.84,1125,0
29.73,89.47,4691.07,8,44.25,36,11.09,1600,1
51.66,63.34,3396.81,8,38.57,39,20.27,1380,1
15.11,101.95,4893.47,6,65.86,43,5.28,944,1
29.74,51.6,3889.53,10,50.35,34,25.01,700,0
18.6,58.91,3742.65,11,41.96,36,19.57,1704,0
18.59,77.82,4737.35,8,49.18,37,15.55,903,0
22.92,52.18,1948.44,10,21.94,34,16.75,1250,0
46.35,64.55,3969.72,9,53.35,36,21.16,870,1
35.67,40.47,3346.91,10,31.33,39,28.37,703,1
15.4,84.04,4292.62,9,56.69,12,12.18,1038,0
28.26,87.78,5392.83,7,38.79,24,15.79,1492,0
17.52,60.09,2517.2,10,40.08,31,15.18,870,0
24.86,85.63,4372.5,10,59.45,23,11.35,1270,0
32.98,82.34,3148.52,10,66.67,42,7.94,957,1
28.22,90.04,4748.74,9,42.72,17,11.89,864,0
36.37,47.46,3315.08,11,37.95,17,26.07,976,0
31.16,65.13,4374.6,7,34.31,25,22.56,985,0
30.61,92.36,6016.02,5,51.45,26,16.75,617,0
11.5,74.58,4412.74,10,46.75,15,15.96,1120,0
33.04,60.16,2718.96,6,44.39,19,19.56,825,0
38.58,49.17,3263.32,6,50.24,27,26.64,1379,0
42.73,84.78,7291.65,9,57.82,27,24.9,987,0
33.09,91.95,3766.4,12,70.1,17,6.66,843,0
18.88,62.16,2365.83,8,51.57,29,14.46,1570,0
26.94,86.46,5065.64,8,33.53,25,14.72,1494,0
24.62,85.55,4933.73,8,56.64,25,14.17,834,0
36.34,85.89,5887.01,8,52.05,32,18.22,1039,0
18.76,76.9,4639.31,8,23.32,29,16.46,623,0
21.4,87.74,4666.31,7,35.8,18,12.66,938,0
40.48,69.22,3301.55,11,58.95,32,15.67,1060,1
36.62,52.3,2942.18,9,52.2,39,21.96,466,1
26.78,82.44,4998.39,10,32.71,22,15.62,178,0
10.44,67.61,3373.21,10,50.3,35,13.95,797,0
35.08,49.17,3382.09,9,90.0,30,25.47,1353,0
28.15,89.16,5587.75,7,44.64,32,15.4,1457,0
40.93,74.1,4927.52,10,32.12,38,19.24,1248,1
10.92,106.96,7114.73,7,43.19,49,10.31,814,1
44.39,69.5,2943.71,7,61.81,38,15.45,1120,1
40.17,38.26,2727.65,9,31.37,42,27.64,1190,1
28.91,90.09,4201.96,10,48.92,23,9.34,1269,0
42.13,76.68,5523.36,11,44.05,45,19.91,1109,1
29.7,50.62,3011.24,9,42.75,23,23.23,834,0
19.43,82.66,3839.86,10,26.28,22,10.56,799,0
35.14,68.39,4939.32,5,47.95,7,25.56,1139,0
50.59,68.4,5607.43,11,47.58,31,25.63,546,1
54.13,51.75,4343.28,10,63.14,37,28.77,1229,1
28.57,87.39,4548.3,9,36.07,28,11.61,700,0
51.8,64.92,3464.24,7,29.23,39,20.01,662,1
29.25,89.57,4547.88,8,48.98,47,9.91,1159,1
28.84,86.22,2975.89,7,52.23,39,6.37,339,1
37.48,54.78,2472.41,7,37.74,10,21.75,1017,0
37.98,45.63,2441.98,7,44.13,27,24.73,872,0
38.92,45.33,2026.55,9,43.84,16,23.39,1208,0
30.58,59.31,3018.0,7,65.3,26,20.08,1480,0
15.26,81.72,4625.98,7,28.3,29,13.99,970,0
40.3,89.04,5282.13,11,30.82,25,14.42,1226,0
30.53,79.4,3991.67,7,39.11,30,13.93,1155,1
38.02,88.15,4581.79,11,65.95,27,11.8,845,0
15.87,73.11,4735.34,10,40.93,22,17.92,649,0
39.41,86.36,4445.81,7,12.54,54,11.79,1400,1
26.03,56.09,3038.48,9,56.64,24,20.4,1311,0
43.38,51.26,4111.66,5,42.32,20,30.0,1359,0
30.9,92.1,4755.36,9,63.62,22,11.12,682,0
50.18,69.25,4139.17,9,63.1,35,20.09,967,1
33.7,87.5,3994.41,13,29.53,19,9.04,1136,0
37.06,55.49,4369.78,7,51.27,27,27.42,1410,1
53.92,47.9,2619.25,8,37.9,44,24.32,872,1
30.63,84.56,4867.57,9,28.71,39,13.84,758,1
29.31,93.47,5178.18,7,22.7,27,12.24,772,0
31.29,45.18,2276.79,10,45.08,22,22.82,1192,0
28.53,51.39,3928.47,10,54.2,26,25.6,1205,0
56.3,74.79,4241.67,8,53.47,36,18.93,845,1
33.42,85.54,5746.56,8,35.8,33,17.61,1392,0
29.51,59.58,4369.78,8,46.14,14,25.13,762,0
3.5,80.72,3432.72,5,40.18,39,8.79,624,0
48.21,48.46,4643.62,11,59.99,36,30.47,1161,1
34.28,75.68,4964.08,8,33.8,32,19.29,925,1
21.22,82.89,6798.23,5,5.49,18,23.89,835,0
30.08,80.76,4296.19,14,50.34,20,12.8,1517,0
15.97,75.11,4974.16,9,38.59,32,17.68,1129,0
23.12,92.29,4970.49,6,34.89,26,11.91,679,0
20.83,75.04,4102.4,5,33.61,9,17.61,714,0
29.85,92.32,5615.31,7,28.38,25,14.58,1239,0
25.86,45.68,2330.4,12,39.46,35,20.97,1034,0
47.89,60.63,2168.38,7,73.13,42,16.76,743,1
24.96,66.25,2522.47,7,44.61,16,14.95,360,0
27.09,48.39,2406.16,8,51.67,39,21.01,1343,0
22.47,66.96,3300.76,6,58.22,22,17.27,1302,0
20.97,60.7,4723.47,10,32.43,38,23.04,986,0
35.45,59.81,2598.63,6,57.63,25,19.15,1044,0
37.33,56.61,2942.26,5,63.31,17,22.68,678,0
19.09,81.99,5026.08,7,48.83,25,16.02,1627,0
17.62,53.9,1691.76,10,38.24,40,14.25,1033,0
45.06,46.79,4187.02,7,43.5,28,31.47,1027,0
27.62,87.78,5504.34,9,63.93,44,14.11,1196,1
34.73,88.09,6277.05,7,23.95,18,19.85,1420,0
28.22,84.61,5085.17,9,37.78,32,14.78,541,0
31.79,85.25,4818.67,9,31.51,45,12.85,584,1
39.03,47.75,3445.37,8,41.66,30,27.24,1795,0
29.52,62.07,2095.96,6,49.17,19,15.94,862,0
31.52,86.92,5748.63,8,44.82,26,17.4,615,0
26.24,66.95,4990.89,7,44.07,30,23.27,1013,0
38.78,48.21,3196.82,7,39.54,36,25.75,922,0
40.14,59.99,4036.65,5,38.67,4,26.38,380,0
21.63,91.93,5074.49,6,61.39,38,11.38,1087,1
39.88,90.85,5504.39,10,61.25,27,14.6,1144,0
28.12,88.46,6009.13,5,42.04,39,17.64,974,0
26.56,96.53,4279.47,7,65.51,29,6.94,854,0
26.01,83.31,5612.94,6,29.69,40,17.66,964,0
2.62,77.77,3446.0,10,33.5,35,8.79,1406,0
21.67,70.66,3162.71,6,45.92,28,14.55,908,0
16.27,74.24,4586.71,10,48.12,16,17.43,729,0
34.36,93.26,5052.84,9,33.71,25,11.75,622,0
